link,sentiment,hourGroup_aprem,hourGroup_finAprem,hourGroup_matin,hourGroup_nuit,hourGroup_soirTard,hourGroup_tresTot,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,season_automne,season_ete,season_hiver,season_printemps,timeSinceLastPost,nbCarac,nbHashtags,nbMentions,nbEmojis,relevantTopic_autre,relevantTopic_coupeDuMonde,relevantTopic_electionsParlementaires,relevantTopic_electionsPresidentielles,relevantTopic_guerreUkraine,relevantTopic_reformeRetraite,newspaper_lefigarofr,newspaper_lesechos,newspaper_lhumanitefr,newspaper_liberationfr,newspaper_valeurs_actuelles
Cn9QxS2NiaJ,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6605,438,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cn9cE1nIBje,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6048,291,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cn9lV7ytJdm,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4738,378,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cn9vs48tIA1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5431,430,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cn958PhoB49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5471,307,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Cn-EXIxoG4E,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5441,279,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cn-Opv6Nh4w,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5315,310,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cn_WzCEN4Lt,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,37825,511,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cn_hBgFNGCX,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5361,431,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cn_uOxPoxqu,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7020,243,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Cn_5AJEIi2r,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5552,331,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CoADX5RNA6s,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5438,458,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoANunONyB4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5429,546,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoAbbbENdQR,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7183,602,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoA7cSRtwf2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,16784,208,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoCXRkcNY3k,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,48147,307,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoChdvro2H7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5342,136,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoCr4kltGoC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5463,149,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoC102ToIrD,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5212,1137,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoDMd6LIL1V,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11871,701,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoDRZphoEqY,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2586,575,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoEgkSCt79y,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,41506,308,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CoEuLdgN0Rv,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7137,122,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoE4SlGow9c,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5301,740,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoFCmPuIc3v,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5404,238,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoFND63NIHe,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5486,533,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoFXRUUInxB,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5353,565,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoFxdeiIfx8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13731,797,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoF10dHI1Xq,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2335,312,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoF98vyoFIt,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4260,236,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoHFFR-t8Cp,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,37247,421,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoHPVnvNZbp,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5377,505,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CoHZoh6Nffn,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5397,545,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoHeuC_osdd,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2667,1034,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoHndKPonIj,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4580,615,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoHxrw9IVqQ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5364,532,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoIBMGDIEMB,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8128,224,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CoIJt-UMvdO,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4472,1218,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoIVQOWIPVv,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6134,319,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoIlqm5o1fQ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,8580,334,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoJp1dQM6lB,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35679,433,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoJ4YGlo4aZ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7624,265,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoKFRPOMVPe,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6759,374,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoKPnDHI3bk,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5422,1383,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoKaU9Yqd6w,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5619,696,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoKkN0WIj6Q,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5184,179,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoKul4UITGO,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5440,837,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CoK5WfcIHYf,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5700,297,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoLC_4VIUEL,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4999,709,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CoLLMMYoZwK,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4295,578,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoMH37mNbLq,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,31815,234,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoMhfAUNYI2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13428,461,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoMmETFIawa,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2402,889,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoM93H4I7sl,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12475,193,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoNJFY7IvGW,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5884,412,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoNUuiwo8X6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6201,555,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CoNdmZ1NNDF,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4556,404,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoNn58MoFvR,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5403,1410,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CoOzb_IISdm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,39601,1040,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoPBQHqNIYM,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7242,218,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoPQwpHImsv,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8131,75,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoPZ1hnNkfm,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4758,228,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoPotkQIrkF,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7799,174,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoP18Dbospn,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6935,290,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CoP_5C6I2Jf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5453,244,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoQNU4ptiEX,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6809,178,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoRfvxHNzNK,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43212,197,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoRpskTtop6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5216,243,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoSIoR9N2Dn,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16218,279,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoSSzGwNkfY,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5332,208,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoSc2vcL3kk,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5272,168,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoSniocNGtL,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5603,295,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoS3GHkNGaJ,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,8155,241,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoT2YkINBVo,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,33181,244,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoUs1qXoYEm,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28550,579,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoU3hVvI5Ev,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7699,310,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoVAHgHIsm4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2409,386,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoVL_KNoDLF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6224,951,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoVWYwdoXLB,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5451,701,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoWh1KSouGf,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,39555,954,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoWsH6YoyZU,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5397,1037,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoW2e_0IYAc,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5431,764,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CoXAx6xoqzn,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5398,599,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoXP6L7o5FN,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7932,236,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoXYwIKI4tj,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4637,493,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoXn765ovuo,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8371,275,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoXvYSfIQk_,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3492,218,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoYGKG4oxGR,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12108,402,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CoZZGYGoHpf,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43320,1482,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoZiVnvNA1c,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4843,162,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoZmBCyo4SG,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1928,617,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoZ2vmXojdI,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8854,484,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoaEanzIAHl,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7085,825,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoaO8ZzIAYB,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5743,316,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CoaeNgEoejE,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7781,310,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Coao7yfIfXC,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6145,471,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Coau57solee,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2607,356,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CoayyiyIvom,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2037,116,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CobraRMIK4q,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,29686,1400,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CocGJDeI05P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14015,932,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cocd4RWIyKo,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13588,562,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Cocnf9OInPX,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3900,261,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CocwS-EtkaK,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4612,315,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Coc6tuGoFBr,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5463,754,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CodEyQsorYL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5280,442,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoeWIsyoZx6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,42651,1428,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoehlFtoNpB,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6000,1655,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoesJVaIcxZ,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6130,384,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Coe1-FtI_rs,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4561,500,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CofLzI9oPT_,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11444,318,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CofYYauogFG,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6622,478,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Cofj6-iIz_g,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6078,693,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cog7tzPIhaz,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,45976,901,0,0,1,0,0,0,0,1,0,1,0,0,0,0
CohwQi5IG2K,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27679,318,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Coh5vljoePa,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4842,263,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoiED2foE4j,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5408,393,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CoiNtUyIiaO,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5059,273,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cojg7HAoYb5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43629,1072,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cojp2NxI5J9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4678,681,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Coj1TvaIdRs,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6009,611,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CokAeHnoqE2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6658,400,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CokMeW7oVzX,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5488,877,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CokXwWUooeE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6163,449,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CokhZCPIMkx,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4803,570,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoksNEAIYPH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5669,1091,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cok1dfMMzeU,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4853,898,0,0,1,1,0,0,0,0,0,1,0,0,0,0
ColAOz4o-Sv,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5647,519,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Colt6TOoOgq,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,23951,162,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ComTYu8o2wq,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19647,299,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Comdt-zo8kG,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5417,964,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Comr-RTopNa,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7473,180,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Com1h4HoNPS,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5010,381,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Com_0tOIORQ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5398,909,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ConPF21I9Ys,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8974,444,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ConZzMDo1ca,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4760,341,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoojYxNogXl,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,38466,769,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cootrw5IKhF,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5398,514,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Coo3_IMoeEd,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5401,380,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CopHixSIL_6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12493,254,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CopaushoLE6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5724,369,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Copjv89o1wu,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4728,215,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CopxHA6IX_g,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7214,401,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Cop6UKcoFo6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4716,402,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CoqDg_qoaqA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4724,362,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoqLEa7oBD_,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3961,312,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CorbGQwIkWx,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,41958,342,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CorjOKXo3w-,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4259,886,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CorxYu9IbWV,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7426,384,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CosAQLnIwHC,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7796,662,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CosIrrhoF-z,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4418,686,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CosQXv8IJl8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4031,404,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CosaPxdoyLM,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5554,383,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CosrX5YoS27,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9095,289,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cots-VZopur,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33902,727,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cot69jJobCD,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7333,664,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CouBl3EIzr8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3476,156,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CouMPB1tRjd,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5581,743,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CouWK-ComJt,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5209,927,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CougksdoEzN,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5454,606,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CourhTUsJ-G,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5739,681,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cou1ExdIQAl,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5010,948,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CovDZBBIBc9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7581,356,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CowR1ccNGzX,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,41052,390,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cowj0a7Nf-H,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9428,202,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cowy44royFi,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7901,278,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoxAWA_oPie,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7165,229,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoxNyOLIbjV,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7006,423,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CoxXT93oVYZ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4925,575,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CoxgR-MOHBo,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4703,333,0,0,0,1,0,0,0,0,0,1,0,0,0,0
