link,sentiment,hourGroup_aprem,hourGroup_finAprem,hourGroup_matin,hourGroup_nuit,hourGroup_soirTard,hourGroup_tresTot,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,season_automne,season_ete,season_hiver,season_printemps,timeSinceLastPost,nbCarac,nbHashtags,nbMentions,nbEmojis,relevantTopic_autre,relevantTopic_coupeDuMonde,relevantTopic_electionsParlementaires,relevantTopic_electionsPresidentielles,relevantTopic_guerreUkraine,relevantTopic_reformeRetraite,newspaper_lefigarofr,newspaper_lesechos,newspaper_lhumanitefr,newspaper_liberationfr,newspaper_valeurs_actuelles
CZg1EVTMzx4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9794,1218,4,1,1,0,0,1,0,0,0,1,0,0,0,0
CZg4AY2IBLB,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1561,841,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CZhfBIbo7_w,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20433,650,2,0,2,0,0,0,0,1,0,1,0,0,0,0
CZjHr2XItSj,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,54876,1055,6,0,1,0,0,1,0,0,0,1,0,0,0,0
CZjX07yoG0j,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8489,924,4,0,0,1,0,0,0,0,0,1,0,0,0,0
CZj55taoidr,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17839,1374,6,0,1,1,0,0,0,0,0,1,0,0,0,0
CZkBVWFoYQf,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3896,849,4,0,1,0,0,0,0,1,0,1,0,0,0,0
CZlwN5hMcYy,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,58135,987,4,0,1,0,0,0,1,0,0,1,0,0,0,0
CZl9BZlJvj9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6713,900,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CZmUNckr6In,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12158,882,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CZoRb62IiKz,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,65654,795,3,0,1,1,0,0,0,0,0,1,0,0,0,0
CZodT0YMCvr,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6225,566,4,0,0,1,0,0,0,0,0,1,0,0,0,0
CZopYiBpJp8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6330,631,5,0,1,1,0,0,0,0,0,1,0,0,0,0
CZpF-sSo8qF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15160,325,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CZrEiguIFAx,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,66187,1466,10,0,1,0,0,0,1,0,0,1,0,0,0,0
CZrKnK7rdpj,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3208,238,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CZrWVZfol1s,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6122,1350,4,0,1,0,0,1,0,0,0,1,0,0,0,0
CZtibZFvbtk,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,73449,1248,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CZuE2bRqc5W,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18047,650,4,1,0,1,0,0,0,0,0,1,0,0,0,0
CZuM3m8ItTx,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4204,1253,6,0,1,1,0,0,0,0,0,1,0,0,0,0
CZuStOPIgrc,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3086,423,4,0,0,1,0,0,0,0,0,1,0,0,0,0
CZujGGUI-nU,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8641,487,5,0,0,0,0,1,0,0,0,1,0,0,0,0
CZv8dguJCkx,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,46780,957,6,0,1,1,0,0,0,0,0,1,0,0,0,0
CZwEd3RIszR,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4197,755,5,0,1,0,0,1,0,0,0,1,0,0,0,0
CZwMpqwseEJ,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4315,371,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CZwho4AsVkW,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10979,661,7,0,1,1,0,0,0,0,0,1,0,0,0,0
CZyfnTSOucF,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,66048,837,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CZyn75Vr77b,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4363,776,4,0,1,0,0,1,0,0,0,1,0,0,0,0
CZzKsGtMAAe,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18221,1467,5,0,0,1,0,0,0,0,0,1,0,0,0,0
CZzRFgvouiN,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3384,403,4,0,0,1,0,0,0,0,0,1,0,0,0,0
CZzg9RwssAe,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8338,338,3,0,0,0,0,0,1,0,0,1,0,0,0,0
CZzpesUBWwn,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4421,1531,11,0,1,0,0,1,0,0,0,1,0,0,0,0
CZ1K_HeoQlH,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51158,421,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CZ1XzYKoRHO,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6683,979,5,0,1,0,0,0,0,1,0,1,0,0,0,0
CZ1cjDIr6RH,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2487,1117,1,0,1,1,0,0,0,0,0,1,0,0,0,0
CZ1qNsshBu1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7166,413,3,0,1,1,0,0,0,0,0,1,0,0,0,0
CZ4JU_EINbI,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,83421,887,2,0,1,0,0,0,0,1,0,1,0,0,0,0
CZ4fNjmreXS,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11514,1005,7,0,0,1,0,0,0,0,0,1,0,0,0,0
CZ62Lz7oxHO,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,79113,856,8,0,0,0,0,0,1,0,0,1,0,0,0,0
CZ7L-pxoqYH,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11576,435,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CZ7r3Kqo-qM,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,16586,799,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CZ7tCHAolrR,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,594,1161,2,0,0,0,0,0,0,1,0,1,0,0,0,0
CZ87RgiL23s,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,41021,1514,7,0,1,0,0,1,0,0,0,1,0,0,0,0
CZ88mFeIfCE,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,693,977,3,0,1,0,0,1,0,0,0,1,0,0,0,0
CZ9JwtGI6Nm,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6918,457,4,0,0,0,0,0,0,0,1,1,0,0,0,0
CZ9pE_4opB6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16403,1328,5,0,1,0,0,1,0,0,0,1,0,0,0,0
CZ9xgjAreas,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4420,636,3,0,1,1,0,0,0,0,0,1,0,0,0,0
CZ95aldoT0s,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4219,476,6,0,0,0,0,1,0,0,0,1,0,0,0,0
CZ_lZOfoW60,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,56539,1162,6,0,1,1,0,0,0,0,0,1,0,0,0,0
CZ_nmiYI9QT,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1158,759,3,0,0,0,0,0,0,1,0,1,0,0,0,0
CZ_18xCIwOH,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7522,567,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CaAZe7bIqfT,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18630,1117,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CaCB89vLb2-,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,54772,821,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CaCKT40MuDW,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4382,1031,7,0,0,1,0,0,0,0,0,1,0,0,0,0
CaCShbkossH,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4305,890,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CaCWlA6oHmk,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2260,336,5,0,0,1,0,0,0,0,0,1,0,0,0,0
CaCxXnoNrcE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13912,1041,7,0,1,0,0,1,0,0,0,1,0,0,0,0
CaEfr0foQop,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,57838,853,5,0,1,0,0,1,0,0,0,1,0,0,0,0
CaEnt1PIJZc,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4210,1505,7,0,1,1,0,0,0,0,0,1,0,0,0,0
CaE7t2Zqz3k,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10486,1098,5,0,1,1,0,0,0,0,0,1,0,0,0,0
CaFNEFTqbXM,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9095,882,6,0,1,0,0,0,1,0,0,1,0,0,0,0
CaHD36yI7aX,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,62291,1088,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CaHLcveqX9q,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3972,798,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CaHjd1OrdSU,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12607,303,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CaH3MtEIAI5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10330,1340,4,0,1,0,0,0,1,0,0,1,0,0,0,0
CaJoi7bowW1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,59427,708,6,0,1,0,0,0,0,1,0,1,0,0,0,0
CaJv9VMs9NI,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3886,1391,3,0,1,0,0,1,0,0,0,1,0,0,0,0
CaKcwKMIoGQ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23485,1224,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CaKw7mfIgvk,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10605,435,3,0,0,0,0,0,0,1,0,1,0,0,0,0
CaK1vjiIOW2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2497,1130,3,0,1,1,0,0,0,0,0,1,0,0,0,0
CaMaq8doG3V,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,52915,1479,5,0,1,0,0,1,0,0,0,1,0,0,0,0
CaM5fGKowuQ,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16177,485,2,0,0,1,0,0,0,0,0,1,0,0,0,0
CaNHMN9od4C,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7259,362,1,1,0,1,0,0,0,0,0,1,0,0,0,0
CaNXO2toRly,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8316,1060,8,0,1,1,0,0,0,0,0,1,0,0,0,0
CaNbkSxoGBs,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2273,944,6,0,1,1,0,0,0,0,0,1,0,0,0,0
CaPMkihqaXg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,59246,775,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaPd89XI4x4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9113,1048,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CaQDpWnolwP,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19789,700,5,0,0,1,0,0,0,0,0,1,0,0,0,0
CaQNbSrIuGJ,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5101,824,5,0,0,0,0,0,0,1,0,1,0,0,0,0
