link,nb_likes,nb_post_comments,likesPerSubs,commentsPerSubs,subs
CZuE2bRqc5W,3217,136,8729.112625115653,369.02683152493904,0.36853688778673277
CZuM3m8ItTx,1232,12,3342.948944402389,32.561191016906385,0.36853688778673277
CZuStOPIgrc,361,12,979.5491630919338,32.561191016906385,0.36853688778673277
CZujGGUI-nU,292,2,792.3223147447221,5.4268651694843975,0.36853688778673277
CZv8dguJCkx,2348,80,6371.139708974683,217.0746067793759,0.36853688778673277
CZwEd3RIszR,900,57,2442.089326267979,154.66565733030532,0.36853688778673277
CZwMpqwseEJ,393,5,1066.379005803684,13.567162923710994,0.36853688778673277
CZwho4AsVkW,2425,177,6580.074017999832,480.2775674993692,0.36853688778673277
CZyfnTSOucF,1483,67,4024.020523172681,181.7999831777273,0.36853688778673277
CZyn75Vr77b,1365,56,3703.8354781731014,151.95222474556314,0.36853688778673277
CZzKsGtMAAe,996,51,2702.5788544032303,138.38506182185213,0.36853688778673277
CZzRFgvouiN,319,1,865.5849945327615,2.7134325847421987,0.36853688778673277
CZzg9RwssAe,336,5,911.7133484733788,13.567162923710994,0.36853688778673277
CZzpesUBWwn,1003,49,2721.5728824964253,132.95819665236775,0.36853688778673277
CZ1K_HeoQlH,3756,81,10191.6527882917,219.7880393641181,0.36853688778673277
CZ1XzYKoRHO,1050,23,2849.104213979309,62.408949449070576,0.36853688778673277
CZ1cjDIr6RH,1388,31,3766.244427622172,84.11641012700817,0.36853688778673277
CZ1qNsshBu1,1686,46,4574.847337875347,124.81789889814115,0.36853688778673277
CZ4JU_EINbI,1764,36,4786.495079485238,97.68357305071916,0.36853688778673277
CZ4fNjmreXS,813,59,2206.0206913954075,160.09252249978974,0.36853688778673277
CZ62Lz7oxHO,1676,48,4547.713012027925,130.24476406762554,0.36853688778673277
CZ7L-pxoqYH,595,11,1614.4923879216083,29.847758432164188,0.36853688778673277
CZ7r3Kqo-qM,1335,148,3622.4325006308354,401.5880225418454,0.36853688778673277
CZ7tCHAolrR,1565,63,4246.521995121541,170.94625283875854,0.36853688778673277
CZ87RgiL23s,1532,116,4156.978719825049,314.75817983009506,0.36853688778673277
CZ88mFeIfCE,1981,62,5375.309950374296,168.23282025401633,0.36853688778673277
CZ9JwtGI6Nm,545,18,1478.8207586844983,48.84178652535958,0.36853688778673277
CZ9pE_4opB6,1342,94,3641.426528724031,255.0626629657667,0.36853688778673277
CZ9xgjAreas,693,36,1880.4087812263438,97.68357305071916,0.36853688778673277
CZ95aldoT0s,362,11,982.262595676676,29.847758432164188,0.36853688778673277
CZ_lZOfoW60,5127,324,13911.768861973254,879.1521574564724,0.36853688778673277
CZ_nmiYI9QT,1290,22,3500.3280343174365,59.695516864328376,0.36853688778673277
CZ_18xCIwOH,2501,64,6786.29489444024,173.65968542350072,0.36853688778673277
CaAZe7bIqfT,3919,104,10633.942299604678,282.1969888131887,0.36853688778673277
CaCB89vLb2-,1436,34,3896.4891916897977,92.25670788123476,0.36853688778673277
CaCKT40MuDW,1201,51,3258.832534275381,138.38506182185213,0.36853688778673277
CaCShbkossH,1993,41,5407.871141391202,111.25073597443016,0.36853688778673277
CaCWlA6oHmk,433,4,1174.9163091933722,10.853730338968795,0.36853688778673277
CaCxXnoNrcE,1294,121,3511.1817646564054,328.32534275380607,0.36853688778673277
CaEfr0foQop,1483,44,4024.020523172681,119.39103372865675,0.36853688778673277
CaEnt1PIJZc,1516,30,4113.563798469174,81.40297754226597,0.36853688778673277
CaE7t2Zqz3k,1229,64,3334.8086466481623,173.65968542350072,0.36853688778673277
CaFNEFTqbXM,1926,101,5226.071158213475,274.0566910589621,0.36853688778673277
CaHD36yI7aX,1361,22,3692.981747834133,59.695516864328376,0.36853688778673277
CaHLcveqX9q,923,58,2504.4982757170496,157.37908991504753,0.36853688778673277
CaHjd1OrdSU,605,3,1641.6267137690304,8.140297754226596,0.36853688778673277
CaH3MtEIAI5,1938,76,5258.632349230382,206.22087644040712,0.36853688778673277
CaJoi7bowW1,1404,25,3809.659348978047,67.83581461855498,0.36853688778673277
CaJv9VMs9NI,1236,51,3353.802674741358,138.38506182185213,0.36853688778673277
CaKcwKMIoGQ,2714,49,7364.256034990328,132.95819665236775,0.36853688778673277
CaKw7mfIgvk,808,15,2192.4535284716967,40.701488771132986,0.36853688778673277
CaK1vjiIOW2,1718,30,4661.677180587098,81.40297754226597,0.36853688778673277
CaMaq8doG3V,2393,103,6493.244175288082,279.4835562284465,0.36853688778673277
CaM5fGKowuQ,564,7,1530.3759777946002,18.994028093195393,0.36853688778673277
CaNHMN9od4C,371,5,1006.6834889393558,13.567162923710994,0.36853688778673277
CaNXO2toRly,923,27,2504.4982757170496,73.26267978803936,0.36853688778673277
CaNbkSxoGBs,1247,54,3383.650433173522,146.52535957607873,0.36853688778673277
CaPMkihqaXg,967,19,2623.889309445706,51.55521911010178,0.36853688778673277
CaPd89XI4x4,577,5,1565.6506013962487,13.567162923710994,0.36853688778673277
CaQDpWnolwP,337,6,914.426781058121,16.280595508453192,0.36853688778673277
CaQNbSrIuGJ,3258,58,8840.363361090083,157.37908991504753,0.36853688778673277
CaQaaSuIXR0,1677,48,4550.426444612667,130.24476406762554,0.36853688778673277
CaRnDoGIiM9,1031,13,2797.548994869207,35.274623601648585,0.36853688778673277
CaRxaAto_4t,966,17,2621.1758768609643,46.12835394061738,0.36853688778673277
CaSDuQ1IyxN,2005,74,5440.432332408109,200.7940112709227,0.36853688778673277
CaSgMXVI4ll,597,6,1619.9192530910927,16.280595508453192,0.36853688778673277
CaSjEYXqbwC,5175,132,14042.01362604088,358.17310118597027,0.36853688778673277
CaUMHvho4M1,1392,41,3777.0981579611407,111.25073597443016,0.36853688778673277
CaUYAqkIKgW,886,95,2404.101270081588,257.7760955505089,0.36853688778673277
CaUknSNImDO,2963,142,8039.900748591135,385.30742703339223,0.36853688778673277
CaU4WaHo9C_,572,11,1552.0834384725379,29.847758432164188,0.36853688778673277
CaVFEk5IIE1,3745,59,10161.805029859535,160.09252249978974,0.36853688778673277
CaWJvncI_cG,2565,87,6959.95457986374,236.0686348725713,0.36853688778673277
CaWczMzIiM_,4347,93,11795.291445874338,252.34923038102448,0.36853688778673277
CaWxQz9o5ob,6862,223,18619.574396500968,605.0954663975103,0.36853688778673277
CaW1BPpIUTC,2441,48,6623.488939355708,130.24476406762554,0.36853688778673277
CaXHqTIoTRn,2592,75,7033.217259651779,203.50744385566492,0.36853688778673277
CaXmzttIUuw,5514,166,14961.867272268484,450.429809067205,0.36853688778673277
CaXxWlII8rZ,2233,55,6059.09496172933,149.23879216082094,0.36853688778673277
CaX7hOBInFX,720,15,1953.671461014383,40.701488771132986,0.36853688778673277
CaYBfLboYZO,2674,76,7255.718731600639,206.22087644040712,0.36853688778673277
CaZWQX3IAWX,2915,50,7909.65598452351,135.67162923710995,0.36853688778673277
CaZasifIab6,2701,53,7328.981411388679,143.81192699133655,0.36853688778673277
CaZlpnwqI5f,8091,272,21954.38304314913,738.0536630498781,0.36853688778673277
CaZ_z1Yo0EO,4967,112,13477.619648414502,303.9044494911263,0.36853688778673277
CaaBMs4omx-,7286,158,19770.069812431662,428.72234838926744,0.36853688778673277
CaaUQgKoy8K,6016,158,16324.010429809068,428.72234838926744,0.36853688778673277
CaaxX-pIN6h,3436,54,9323.354361174195,146.52535957607873,0.36853688778673277
Cab5vxqIS4h,4324,113,11732.882496425267,306.61788207586847,0.36853688778673277
CacCTJ1I3UX,2111,13,5728.0561863907815,35.274623601648585,0.36853688778673277
CacHdCwoM6y,1774,69,4813.629405332661,187.22684834721173,0.36853688778673277
Caej3CHIQdd,2714,42,7364.256034990328,113.96416855917235,0.36853688778673277
CafCriaILN7,3251,115,8821.369332996888,312.0447472453529,0.36853688778673277
CafF9DsIOSM,3901,61,10585.100513079318,165.51938766927412,0.36853688778673277
CafJa_Ho00k,588,12,1595.498359828413,32.561191016906385,0.36853688778673277
Cag277XIG7_,2833,16,7687.15451257465,43.41492135587518,0.36853688778673277
CahBNHvoyA_,7152,95,19406.469846076205,257.7760955505089,0.36853688778673277
CahiErKIjRQ,1051,18,2851.817646564051,48.84178652535958,0.36853688778673277
CaiEn5coXb1,302,3,819.456640592144,8.140297754226596,0.36853688778673277
CajtKk3oO9p,3134,221,8503.897720582052,599.668601228026,0.36853688778673277
CakH2vDIAOg,1712,32,4645.396585078644,86.82984271175036,0.36853688778673277
CakY0HRIgxQ,935,24,2537.059466733956,65.12238203381277,0.36853688778673277
CamIDoSMT5r,942,8,2556.0534948271516,21.70746067793759,0.36853688778673277
CamOFA_o1Wu,3410,134,9252.805113970899,363.5999663554546,0.36853688778673277
CamSy3Qoo1z,1056,36,2865.384809487762,97.68357305071916,0.36853688778673277
Cam8TkqIbfQ,17068,357,46312.86735637985,968.695432752965,0.36853688778673277
CanNEfToe8b,4139,103,11230.89746824796,279.4835562284465,0.36853688778673277
CaogODzI6r1,4739,123,12858.95701909328,333.7522079232905,0.36853688778673277
Caok_uKskSQ,1666,27,4520.578686180504,73.26267978803936,0.36853688778673277
CaovOkdI-lO,1132,24,3071.605685928169,65.12238203381277,0.36853688778673277
Cao651OIklg,1294,55,3511.1817646564054,149.23879216082094,0.36853688778673277
Cao8L8noiXT,9322,281,25294.61855496678,762.4745563125579,0.36853688778673277
CapZhfcIxTy,400,3,1085.3730338968796,8.140297754226596,0.36853688778673277
CarPmtUogYH,844,52,2290.137101522416,141.09849440659434,0.36853688778673277
CasOSumohHT,1245,14,3378.2235680040376,37.988056186390786,0.36853688778673277
CasdY7uodik,4893,201,13276.825637143578,545.3999495331819,0.36853688778673277
Cat3cYjojYx,258,5,700.0656068634873,13.567162923710994,0.36853688778673277
Cat6-iioSsn,1546,14,4194.96677601144,37.988056186390786,0.36853688778673277
CauK4aIImQ6,2327,43,6314.157624695097,116.67760114391456,0.36853688778673277
CauVX-hqXfX,872,25,2366.1132138951975,67.83581461855498,0.36853688778673277
CauafHgo0pb,5860,242,15900.714946589285,656.6506855076121,0.36853688778673277
CauuRM_IIAH,425,12,1153.2088485154345,32.561191016906385,0.36853688778673277
